# source: https://raw.githubusercontent.com/maxcleme/beadcolors/master/raw/perler.csv (MIT License, see LICENSE-beadcolors.txt / LICENSE-bead-color-matcher.txt)
# fetched: 2026-09-03 · rows: 103 · color_type 仅标记特殊效果系列（空 = 普通色）
code,name,r,g,b,color_type
80-15179,Evergreen,48,85,69,
80-15181,Light Grey,179,186,184,
80-15182,Lavender,175,159,206,
80-15199,Shamrock,0,143,83,
80-15200,Cobalt,0,101,177,
80-15201,Midnight,47,60,85,
80-15202,Robin's Egg,169,205,213,
80-15203,Flamingo,242,175,183,
80-15204,Salmon,225,116,122,
80-15205,Fawn,201,163,133,
80-15206,Pewter,148,161,157,
80-15207,Charcoal,79,89,90,
80-15208,Toasted Marshmallow,222,218,206,
80-15210,Orchid,177,98,142,
80-15211,Tomato,209,67,55,
80-15212,Spice,217,89,58,
80-15213,Apricot,245,161,104,
80-15214,Sherbet,216,228,124,
80-15215,Mist,147,176,189,
80-15216,Sky,74,192,216,
80-15217,Lagoon,0,164,172,
80-15218,Teal,4,127,138,
80-15219,Fern,127,151,26,
80-15220,Olive,105,110,49,
80-15961,Cherry,157,43,58,
80-19001,White,234,239,238,
80-19002,Creme,225,226,187,
80-19003,Yellow,231,206,62,
80-19004,Orange,235,123,49,
80-19005,Red,176,53,60,
80-19006,Bubblegum,216,114,154,
80-19007,Purple,104,75,134,
80-19008,Dark Blue,14,80,146,
80-19009,Light Blue,39,140,201,
80-19010,Dark Green,0,123,78,
80-19011,Light Green,24,199,177,
80-19012,Brown,103,76,68,
80-19017,Grey,144,148,151,
80-19018,Black,50,50,52,
80-19020,Rust,153,80,67,
80-19021,Light Brown,147,104,72,
80-19033,Peach,233,191,185,
80-19035,Tan,197,172,144,
80-19038,Magenta,224,66,132,
80-19052,Pastel Blue,74,156,207,
80-19053,Pastel Green,109,204,148,
80-19054,Pastel Lavender,147,127,191,
80-19056,Pastel Yellow,233,226,144,
80-19057,Cheddar,251,177,70,
80-19058,Toothpaste,150,209,212,
80-19059,Hot Coral,221,89,91,
80-19060,Plum,167,93,157,
80-19061,Kiwi Lime,105,184,69,
80-19062,Turquoise,0,152,197,
80-19063,Blush,249,146,151,
80-19070,Periwinkle Blue,102,131,183,
80-19079,Light Pink,225,188,206,
80-19080,Green,77,171,100,
80-19083,Pink,212,84,150,
80-19088,Raspberry,152,56,100,
80-19090,Butterscotch,218,153,100,
80-19091,Parrot Green,0,145,136,
80-19092,Dark Grey,88,92,97,
80-19093,Blueberry Creme,133,168,227,
80-19096,Cranapple,132,57,71,
80-19097,Prickly Pear,187,201,56,
80-19098,Sand,229,190,158,
80-15240,Mint,179,238,213,
80-15241,Sour Apple,163,222,111,
80-15242,Cotton Candy,244,121,176,
80-15243,Grape,80,59,156,
80-15244,Rose,210,93,114,
80-15245,Iris,78,86,163,
80-15246,Tangerine,253,89,24,
80-15247,Forest,0,93,87,
80-15248,Eggplant,111,50,85,
80-15249,Honey,218,140,44,
80-15250,Gingerbread,126,84,70,
80-15251,Thistle,140,140,167,
80-15252,Slate Blue,94,109,123,
80-15253,Denim,76,99,136,
80-15254,Sage,154,169,142,
80-15255,Orange Cream,239,183,155,
80-15256,Fruit Punch,202,59,101,
80-15257,Fuchsia,203,89,185,
80-15258,Mulberry,113,72,117,
80-15259,Slime,200,200,92,
80-15260,Stone,152,140,140,
80-15261,Dark Spruce,20,49,59,
80-15262,Cocoa,57,41,40,
80-15265,Twilight Plum,198,133,177,
80-15266,Caribbean Sea,108,200,173,
80-15267,Frosted Lilac,205,183,195,
80-15273,Brick,252,149,116,
80-15274,Rich Butter,246,202,105,
80-15275,Peacock,0,144,172,
80-15276,Carnation Pink,248,199,201,
80-15089,Neon Blue,64,106,225,
80-15268,Sunflower,222,186,11,
80-15269,Lemon,246,217,1,
80-15263,Celery,190,212,166,
80-15239,Mocha,200,182,147,
80-15272,Coral,255,154,139,
